"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-01-08 07:40:00","Workout on the fly","Pull Ups","1","20","5","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Pull Ups","2","20","4","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Pull Ups","3","20","4","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Pull Ups","4","20","4","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Pull Ups","5","20","2","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Seated Cable Rows","1","20","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Seated Cable Rows","2","20","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Seated Cable Rows","3","20","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Seated Cable Rows","4","20","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Shrugs","1","30","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Shrugs","2","30","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Shrugs","3","30","10","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Hammer Curls","1","10","5","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Hammer Curls","2","10","6","","","kg",
"2025-01-08 07:40:00","Workout on the fly","Dumbbell Hammer Curls","3","10","4","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Barbell Squat","1","30","12","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Barbell Squat","2","30","12","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Barbell Squat","3","30","12","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Barbell Squat","4","30","12","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Barbell Squat","5","30","12","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Push Ups","1","95","10","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Push Ups","2","95","4","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Push Ups","3","95","2","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Push Ups","4","95","4","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Pike Push Ups","1","95","6","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Pike Push Ups","2","95","5","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Pike Push Ups","3","95","5","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Pike Push Ups","4","95","6","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Overhead Cable Triceps Extension","1","10","10","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Overhead Cable Triceps Extension","2","10","10","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Overhead Cable Triceps Extension","3","10","10","","","kg",
"2025-01-15 11:05:02","Workout on the fly","Overhead Cable Triceps Extension","4","10","7","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Barbell Deadlifts","1","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Barbell Deadlifts","2","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Barbell Deadlifts","3","30","10","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Barbell Deadlifts","4","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Barbell Deadlifts","5","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Pull Ups","1","60","4","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Seated Cable Rows","1","20","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Seated Cable Rows","2","20","8","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Seated Cable Rows","3","20","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Seated Cable Rows","4","20","9","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Hammer Curls","1","10","6","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Hammer Curls","2","10","6","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Hammer Curls","3","10","6","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Hammer Curls","4","10","6","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Shrugs","1","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Shrugs","2","30","12","","","kg",
"2025-01-24 09:50:58","Workout on the fly","Dumbbell Shrugs","3","30","12","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Barbell Deadlifts","1","30","12","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Barbell Deadlifts","2","40","10","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Barbell Deadlifts","3","40","8","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Barbell Deadlifts","4","40","9","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Barbell Deadlifts","5","40","10","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Pull Ups","1","30","6","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Pull Ups","2","30","4","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Pull Ups","3","30","3","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Pull Ups","4","30","4","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Seated Cable Rows","1","20","12","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Seated Cable Rows","2","20","12","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Seated Cable Rows","3","20","7","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Seated Cable Rows","4","20","1","","","kg",
"2025-02-11 12:13:49","Workout on the fly","Dumbbell Hammer Curls","1","10","1","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Barbell Squat","1","40","12","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Barbell Squat","2","40","12","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Barbell Squat","3","40","12","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Barbell Squat","4","40","12","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Barbell Squat","5","40","3","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Push Ups","1","95","7","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Push Ups","2","95","6","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Push Ups","3","95","2","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Push Ups","4","95","4","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Standing Barbell Military Press","1","30","6","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Standing Barbell Military Press","2","30","6","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Standing Barbell Military Press","3","30","3","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Standing Barbell Military Press","4","30","4","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Overhead Cable Triceps Extension","1","10","12","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Overhead Cable Triceps Extension","2","10","10","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Overhead Cable Triceps Extension","3","10","10","","","kg",
"2025-02-12 12:25:34","Workout on the fly","Overhead Cable Triceps Extension","4","10","7","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Barbell Deadlifts","1","30","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Barbell Deadlifts","2","40","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Barbell Deadlifts","3","40","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Barbell Deadlifts","4","40","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Barbell Deadlifts","5","40","11","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Assisted Pull Ups","1","30","6","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Assisted Pull Ups","2","30","6","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Assisted Pull Ups","3","30","4","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Assisted Pull Ups","4","30","4","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Seated Cable Rows","1","20","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Seated Cable Rows","2","20","12","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Seated Cable Rows","3","20","10","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Seated Cable Rows","4","20","8","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Hammer Curls","1","10","6","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Hammer Curls","2","10","6","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Hammer Curls","3","10","5","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Hammer Curls","4","10","6","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Shrugs","1","40","9","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Shrugs","2","40","10","","","kg",
"2025-02-19 12:32:54","Workout on the fly","Dumbbell Shrugs","3","40","10","","","kg",
"2025-03-31 12:33:12","Back and biceps","One Arm Dumbbell Row","1","10","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","One Arm Dumbbell Row","2","10","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","One Arm Dumbbell Row","3","10","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","Wide Grip Lat Pull Down","1","41","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","Wide Grip Lat Pull Down","2","41","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","Wide Grip Lat Pull Down","3","41","10","","","kg",
"2025-03-31 12:33:12","Back and biceps","Seated Cable Rows","1","45","10","","","kg",
"2025-03-31 12:33:12","Back and biceps","Seated Cable Rows","2","40","8","","","kg",
"2025-03-31 12:33:12","Back and biceps","Seated Cable Rows","3","36","8","","","kg",
"2025-03-31 12:33:12","Back and biceps","Alternating Dumbbell Hammer Curls","1","7.5","12","","","kg",
"2025-03-31 12:33:12","Back and biceps","Alternating Dumbbell Hammer Curls","2","7.5","11","","","kg",
"2025-03-31 12:33:12","Back and biceps","Alternating Dumbbell Hammer Curls","3","7.5","7","","","kg",
