log_ID,Date,Workout name,exercise_id,set_index,Set,Weight,Reps,Distance,Duration,Measurement unit
100,31/03/2025,Back and biceps,1,1,1,10,12,NULL,NULL,kg
101,31/03/2025,Back and biceps,1,1,2,10,12,NULL,NULL,kg
102,31/03/2025,Back and biceps,1,1,3,10,12,NULL,NULL,kg
103,31/03/2025,Back and biceps,2,2,1,41,12,NULL,NULL,kg
104,31/03/2025,Back and biceps,2,2,2,41,12,NULL,NULL,kg
105,31/03/2025,Back and biceps,2,2,3,41,10,NULL,NULL,kg
106,31/03/2025,Back and biceps,3,3,1,45,10,NULL,NULL,kg
107,31/03/2025,Back and biceps,3,3,2,40,8,NULL,NULL,kg
108,31/03/2025,Back and biceps,3,3,3,36,8,NULL,NULL,kg
109,31/03/2025,Back and biceps,4,4,1,7.5,12,NULL,NULL,kg
110,31/03/2025,Back and biceps,4,4,2,7.5,11,NULL,NULL,kg
111,31/03/2025,Back and biceps,4,4,3,7.5,7,NULL,NULL,kg
112,31/03/2025,Back and biceps,5,5,1,10,3,NULL,NULL,kg
113,31/03/2025,Back and biceps,5,5,2,7.5,6,NULL,NULL,kg
114,31/03/2025,Back and biceps,5,5,3,7.5,6,NULL,NULL,kg
115,01/04/2025,Chest & triceps,6,6,1,0,10,NULL,NULL,kg
116,01/04/2025,Chest & triceps,6,6,2,10,10,NULL,NULL,kg
117,01/04/2025,Chest & triceps,6,6,3,20,10,NULL,NULL,kg
118,01/04/2025,Chest & triceps,6,6,4,20,10,NULL,NULL,kg
119,01/04/2025,Chest & triceps,7,7,1,20,8,NULL,NULL,kg
120,01/04/2025,Chest & triceps,7,7,2,20,8,NULL,NULL,kg
121,01/04/2025,Chest & triceps,7,7,3,20,6,NULL,NULL,kg
122,01/04/2025,Chest & triceps,8,8,1,27,15,NULL,NULL,kg
123,01/04/2025,Chest & triceps,8,8,2,32,15,NULL,NULL,kg
124,01/04/2025,Chest & triceps,8,8,3,32,15,NULL,NULL,kg
125,01/04/2025,Chest & triceps,9,9,1,7.5,12,NULL,NULL,kg
126,01/04/2025,Chest & triceps,9,9,2,7.5,12,NULL,NULL,kg
127,01/04/2025,Chest & triceps,9,9,3,7.5,12,NULL,NULL,kg
128,01/04/2025,Chest & triceps,10,10,1,30,20,NULL,NULL,kg
129,01/04/2025,Chest & triceps,10,10,2,30,15,NULL,NULL,kg
130,01/04/2025,Chest & triceps,10,10,3,30,12,NULL,NULL,kg
131,01/04/2025,Chest & triceps,11,11,1,7.5,12,NULL,NULL,kg
132,01/04/2025,Chest & triceps,11,11,2,7.5,8,NULL,NULL,kg
133,01/04/2025,Chest & triceps,11,11,3,5,12,NULL,NULL,kg
134,01/04/2025,Chest & triceps,12,12,1,10,12,NULL,NULL,kg
135,01/04/2025,Chest & triceps,12,12,2,10,11,NULL,NULL,kg
136,01/04/2025,Chest & triceps,12,12,3,10,11,NULL,NULL,kg
137,01/04/2025,Chest & triceps,13,13,1,23,8,NULL,NULL,kg
138,01/04/2025,Chest & triceps,13,13,2,18,7,NULL,NULL,kg
139,01/04/2025,Chest & triceps,13,13,3,14,8,NULL,NULL,kg
140,03/04/2025,Legs,14,14,1,20,10,NULL,NULL,kg
141,03/04/2025,Legs,14,14,2,30,10,NULL,NULL,kg
142,03/04/2025,Legs,14,14,3,30,9,NULL,NULL,kg
143,03/04/2025,Legs,14,14,4,30,7,NULL,NULL,kg
144,03/04/2025,Legs,15,15,1,32,20,NULL,NULL,kg
145,03/04/2025,Legs,15,15,2,39,20,NULL,NULL,kg
146,03/04/2025,Legs,15,15,3,39,20,NULL,NULL,kg
147,03/04/2025,Legs,16,16,1,40,1,NULL,NULL,kg
148,03/04/2025,Legs,16,16,2,35,5,NULL,NULL,kg
149,03/04/2025,Legs,16,16,3,30,4,NULL,NULL,kg
150,03/04/2025,Legs,16,16,4,25,3,NULL,NULL,kg
151,03/04/2025,Legs,16,16,5,20,3,NULL,NULL,kg
152,03/04/2025,Legs,16,16,6,15,7,NULL,NULL,kg
153,03/04/2025,Legs,16,16,7,10,8,NULL,NULL,kg
154,03/04/2025,Legs,17,17,1,40,8,NULL,NULL,kg
155,03/04/2025,Legs,17,17,2,40,10,NULL,NULL,kg
156,03/04/2025,Legs,17,17,3,40,8,NULL,NULL,kg
157,03/04/2025,Legs,18,18,1,36,9,NULL,NULL,kg
158,03/04/2025,Legs,18,18,2,32,4,NULL,NULL,kg
159,03/04/2025,Legs,18,18,3,27,3,NULL,NULL,kg
160,03/04/2025,Legs,18,18,4,23,4,NULL,NULL,kg
161,03/04/2025,Legs,18,18,5,18,3,NULL,NULL,kg
162,03/04/2025,Legs,18,18,6,9,12,NULL,NULL,kg
163,03/04/2025,Legs,19,19,1,20,15,NULL,NULL,kg
164,03/04/2025,Legs,19,19,2,20,12,NULL,NULL,kg
165,03/04/2025,Legs,19,19,3,20,12,NULL,NULL,kg
166,03/04/2025,Legs,19,20,1,10,47,NULL,NULL,kg
167,04/04/2025,"Shoulders, traps, forearms",20,21,1,12.5,10,NULL,NULL,kg
168,04/04/2025,"Shoulders, traps, forearms",20,21,2,12.5,10,NULL,NULL,kg
169,04/04/2025,"Shoulders, traps, forearms",20,21,3,12.5,7,NULL,NULL,kg
170,04/04/2025,"Shoulders, traps, forearms",20,22,1,10,8,NULL,NULL,kg
171,04/04/2025,"Shoulders, traps, forearms",20,22,2,7.5,9,NULL,NULL,kg
172,04/04/2025,"Shoulders, traps, forearms",20,22,3,7.5,10,NULL,NULL,kg
173,04/04/2025,"Shoulders, traps, forearms",21,23,1,5,8,NULL,NULL,kg
174,04/04/2025,"Shoulders, traps, forearms",21,23,2,5,10,NULL,NULL,kg
175,04/04/2025,"Shoulders, traps, forearms",21,23,3,5,8,NULL,NULL,kg
176,04/04/2025,"Shoulders, traps, forearms",22,24,1,30,8,NULL,NULL,kg
177,04/04/2025,"Shoulders, traps, forearms",22,24,2,20,7,NULL,NULL,kg
178,04/04/2025,"Shoulders, traps, forearms",22,24,3,10,26,NULL,NULL,kg
179,04/04/2025,"Shoulders, traps, forearms",23,25,1,7.5,12,NULL,NULL,kg
180,04/04/2025,"Shoulders, traps, forearms",23,25,2,7.5,12,NULL,NULL,kg
181,04/04/2025,"Shoulders, traps, forearms",23,25,3,7.5,12,NULL,NULL,kg
182,04/04/2025,"Shoulders, traps, forearms",24,26,1,20,13,NULL,NULL,kg
183,04/04/2025,"Shoulders, traps, forearms",24,26,2,12.5,12,NULL,NULL,kg
184,04/04/2025,"Shoulders, traps, forearms",24,26,3,10,17,NULL,NULL,kg
185,04/04/2025,"Shoulders, traps, forearms",24,26,4,7.5,15,NULL,NULL,kg
186,08/04/2025,Back and biceps,25,27,1,20,5,NULL,NULL,kg
187,08/04/2025,Back and biceps,25,27,2,60,5,NULL,NULL,kg
188,08/04/2025,Back and biceps,25,27,3,80,5,NULL,NULL,kg
189,08/04/2025,Back and biceps,2,28,1,45,8,NULL,NULL,kg
190,08/04/2025,Back and biceps,2,28,2,45,6,NULL,NULL,kg
